time_ms,fuel_pressure_psi,chamber_pressure_psi,oxygen_pressure_psi,ducer4_psi,ducer5_psi,ducer6_psi,ducer7_psi,ducer8_psi,thermistor1_C,thermistor2_C,thermistor3_C,thermistor4_C,thermistor5_C,thermistor6_C,loadcell_lbs
595,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
596,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
597,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
598,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
599,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
606,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0
607,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0
608,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
609,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
610,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
611,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
615,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
617,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
619,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
620,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
621,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
622,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
624,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
626,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
628,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
629,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
630,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
631,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
633,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0
634,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0
635,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0
636,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
637,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
638,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
645,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
646,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
647,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
648,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
650,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0
652,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0
654,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
656,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
657,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
658,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
660,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
661,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
662,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
663,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
664,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
665,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
666,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
667,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
668,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
669,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
