time_ms,fuel_pressure_psi,chamber_pressure_psi,oxygen_pressure_psi,ducer4_psi,ducer5_psi,ducer6_psi,ducer7_psi,ducer8_psi,thermistor1_C,thermistor2_C,thermistor3_C,thermistor4_C,thermistor5_C,thermistor6_C,loadcell_lbs
504,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
505,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
506,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
507,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
508,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
509,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
510,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
511,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
512,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
513,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
514,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
516,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
517,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
518,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
519,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
520,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
522,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
524,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
526,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
527,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
528,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
529,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
530,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
544,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
546,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
548,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
549,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
550,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
551,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
553,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
555,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
556,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
558,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
560,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
561,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
562,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
563,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
564,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
565,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
567,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
568,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
570,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
571,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
572,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
573,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
574,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
575,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
584,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
585,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
586,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
587,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
588,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
590,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
592,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
593,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
594,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
596,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
597,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
598,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
600,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
602,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
604,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
605,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
606,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
607,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
608,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
609,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
610,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
611,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
612,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
613,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
620,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
621,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
622,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
623,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
624,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
626,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
628,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
629,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
630,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
631,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
633,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
634,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
635,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
636,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
637,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
638,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
640,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
641,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
644,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
645,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
646,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
647,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
648,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
