time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
18935825,89,0,0,0
18149418,91,0,0,0
18149427,93,0,0,0
18149443,95,0,0,0
18149460,95,0,0,0
18149477,91,0,0,0
17887357,97,0,0,0
18149510,95,0,0,0
17887383,95,0,0,0
17887399,95,0,0,0
18149560,81,0,0,0
17887439,81,0,0,0
15003865,91,0,0,0
17887468,83,0,0,0
18936059,89,0,0,0
17887503,95,0,0,0
18936092,91,0,0,0
19198253,85,0,0,0
18149709,83,0,0,0
18149712,85,0,0,0
18149727,93,0,0,0
17887599,97,0,0,0
17887616,111,0,0,0
17887633,95,0,0,0
17887651,83,0,0,0
17887666,99,0,0,0
18149827,83,0,0,0
15004127,93,0,0,0
18149864,95,0,0,0
17887741,89,0,0,0
18149901,83,0,0,0
18149918,83,0,0,0
18149927,95,0,0,0
17887807,99,0,0,0
15004240,93,0,0,0
18149977,95,0,0,0
17887855,101,0,0,0
15004288,93,0,0,0
15004299,93,0,0,0
18936479,91,0,0,0
18150060,105,0,0,0
17887935,91,0,0,0
18150093,91,0,0,0
17887968,85,0,0,0
15004399,101,0,0,0
18936575,93,0,0,0
17888016,99,0,0,0
17888033,101,0,0,0
18150203,91,0,0,0
18936642,85,0,0,0
18150235,83,0,0,0
18150251,83,0,0,0
17888124,93,0,0,0
15004557,87,0,0,0
15004583,101,0,0,0
15004590,89,0,0,0
18150335,83,0,0,0
15004615,97,0,0,0
18150360,95,0,0,0
18150377,93,0,0,0
18936831,93,0,0,0
18150412,97,0,0,0
18150427,87,0,0,0
18150443,89,0,0,0
17888316,103,0,0,0
18150477,93,0,0,0
18150509,83,0,0,0
18150510,91,0,0,0
17888383,103,0,0,0
15004815,99,0,0,0
18150560,83,0,0,0
18150577,99,0,0,0
18150597,85,0,0,0
17888476,77,0,0,0
18937059,89,0,0,0
17888515,97,0,0,0
17888516,87,0,0,0
17888533,95,0,0,0
17888549,87,0,0,0
18150720,87,0,0,0
18150727,89,0,0,0
18150751,85,0,0,0
18150760,93,0,0,0
18150777,97,0,0,0
17888655,81,0,0,0
15005088,93,0,0,0
18150827,91,0,0,0
18150847,85,0,0,0
18937292,93,0,0,0
17888733,89,0,0,0
15005165,101,0,0,0
18150910,101,0,0,0
17888783,83,0,0,0
17888799,87,0,0,0
18937392,91,0,0,0
17888841,99,0,0,0
18937425,91,0,0,0
17888866,97,0,0,0
18151027,91,0,0,0
17888907,87,0,0,0
17888924,97,0,0,0
18151077,91,0,0,0
18937525,85,0,0,0
17888976,83,0,0,0
18151135,89,0,0,0
18151143,89,0,0,0
17889024,97,0,0,0
17889037,109,0,0,0
18151199,81,0,0,0
15005488,85,0,0,0
17889087,79,0,0,0
18151243,101,0,0,0
18151260,83,0,0,0
18151277,97,0,0,0
18151293,93,0,0,0
17889168,83,0,0,0
17889183,99,0,0,0
18151343,93,0,0,0
18151360,93,0,0,0
17889235,83,0,0,0
17889257,83,0,0,0
17889274,97,0,0,0
17889291,87,0,0,0
17889299,95,0,0,0
18151464,81,0,0,0
17889335,101,0,0,0
18151501,89,0,0,0
18151510,79,0,0,0
17889383,107,0,0,0
18937975,89,0,0,0
18937992,87,0,0,0
18151577,79,0,0,0
17889451,91,0,0,0
18151610,85,0,0,0
15005903,87,0,0,0
17889503,79,0,0,0
17889520,87,0,0,0
18938111,81,0,0,0
15005967,95,0,0,0
17889568,107,0,0,0
18151727,95,0,0,0
17889599,93,0,0,0
17889616,91,0,0,0
18938209,81,0,0,0
18151793,89,0,0,0
18151818,85,0,0,0
17889691,109,0,0,0
17889703,91,0,0,0
17889720,93,0,0,0
18151879,85,0,0,0
17889751,97,0,0,0
18151910,97,0,0,0
18151927,97,0,0,0
18151943,91,0,0,0
18151960,91,0,0,0
18151981,99,0,0,0
18151995,99,0,0,0
18152016,101,0,0,0
17889887,95,0,0,0
19200619,89,0,0,0
18152060,101,0,0,0
18152077,81,0,0,0
17889949,83,0,0,0
17889968,97,0,0,0
18152127,107,0,0,0
18152143,95,0,0,0
17890016,85,0,0,0
17890045,103,0,0,0
18938625,89,0,0,0
14744346,95,0,0,0
17890095,95,0,0,0
18152251,91,0,0,0
18152268,83,0,0,0
18152277,97,0,0,0
17890149,87,0,0,0
15006590,91,0,0,0
18152335,81,0,0,0
17890199,93,0,0,0
18152360,89,0,0,0
18152377,93,0,0,0
17890251,97,0,0,0
18152412,91,0,0,0
18152427,83,0,0,0
18152443,99,0,0,0
17890316,87,0,0,0
18152495,91,0,0,0
17890349,83,0,0,0
17890366,95,0,0,0
17890383,89,0,0,0
17890399,103,0,0,0
17890416,101,0,0,0
14744717,95,0,0,0
17890465,85,0,0,0
18152624,85,0,0,0
17890499,83,0,0,0
17890499,83,0,0,0
18152672,81,0,0,0
18152687,89,0,0,0
17890559,99,0,0,0
17890566,95,0,0,0
15007007,95,0,0,0
17890599,83,0,0,0
17890624,85,0,0,0
18152779,95,0,0,0
18939225,85,0,0,0
18152812,81,0,0,0
18152827,105,0,0,0
18152847,91,0,0,0
18152860,91,0,0,0
17890735,83,0,0,0
18152893,95,0,0,0
15007184,97,0,0,0
19201503,95,0,0,0
18152943,93,0,0,0
18152960,87,0,0,0
18152995,87,0,0,0
17890849,97,0,0,0
17890866,101,0,0,0
17890891,83,0,0,0
17890907,89,0,0,0
17890924,87,0,0,0
15007359,97,0,0,0
18153095,83,0,0,0
17890966,83,0,0,0
17890983,95,0,0,0
17891007,83,0,0,0
17891024,97,0,0,0
18939609,95,0,0,0
17891051,93,0,0,0
18153210,95,0,0,0
18153231,79,0,0,0
